NO,CATEGORY,AREA_CD,AREA_NM_KR,AREA_NM_ENG
1,관광특구,POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone
2,관광특구,POI002,동대문 관광특구,Dongdaemun Fashion Town Special Tourist Zone
3,관광특구,POI003,명동 관광특구,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone
4,관광특구,POI004,이태원 관광특구,Itaewon Special Tourist Zone
5,관광특구,POI005,잠실 관광특구,Jamsil Special Tourist Zone
6,관광특구,POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone
7,관광특구,POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone
8,고궁·문화유산,POI008,경복궁,Gyeongbokgung Palace
9,고궁·문화유산,POI009,광화문·덕수궁,Gwanghwamun & Deoksugung Palace
10,고궁·문화유산,POI010,보신각,Bosingak
11,고궁·문화유산,POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site
12,고궁·문화유산,POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine
13,인구밀집지역,POI013,가산디지털단지역,Gasan Digital Complex station
14,인구밀집지역,POI014,강남역,Gangnam station
15,인구밀집지역,POI015,건대입구역,Konkuk University station
16,인구밀집지역,POI016,고덕역,Godeok station
17,인구밀집지역,POI017,고속터미널역,Express Bus Terminal station
18,인구밀집지역,POI018,교대역,Seoul National University of Education station
19,인구밀집지역,POI019,구로디지털단지역,Guro Digital Complex station
20,인구밀집지역,POI020,구로역,Guro station
21,인구밀집지역,POI021,군자역,Gunja station
22,인구밀집지역,POI022,남구로역,Namguro station
23,인구밀집지역,POI023,대림역,Daerim station
24,인구밀집지역,POI024,동대문역,Dongdaemun station
25,인구밀집지역,POI025,뚝섬역,Ttukseom station
26,인구밀집지역,POI026,미아사거리역,Miasageori station
27,인구밀집지역,POI027,발산역,Balsan station
28,인구밀집지역,POI028,북한산우이역,Bukhansan Ui station
29,인구밀집지역,POI029,사당역,Sadang station
30,인구밀집지역,POI030,삼각지역,Samgakji station
31,인구밀집지역,POI031,서울대입구역,Seoul National University station
32,인구밀집지역,POI032,서울식물원·마곡나루역,Seoul Botanic Park·Magongnaru station
33,인구밀집지역,POI033,서울역,Seoul station
34,인구밀집지역,POI034,선릉역,Seolleung station
35,인구밀집지역,POI035,성신여대입구역,Sungshin Women's University station
36,인구밀집지역,POI036,수유역,Suyu station
37,인구밀집지역,POI037,신논현역·논현역,Sinnonhyeon·Nonhyeon station
38,인구밀집지역,POI038,신도림역,Sindorim station
39,인구밀집지역,POI039,신림역,Sillim station
40,인구밀집지역,POI040,신촌·이대역,Sinchon·Ewha Womans University station
41,인구밀집지역,POI041,양재역,Yangjae station
42,인구밀집지역,POI042,역삼역,Yeoksam station
43,인구밀집지역,POI043,연신내역,Yeonsinnae station
44,인구밀집지역,POI044,오목교역·목동운동장,Omokgyo·Mok-dong Stadium station
45,인구밀집지역,POI045,왕십리역,Wangsimni station
46,인구밀집지역,POI046,용산역,Yongsan station
47,인구밀집지역,POI047,이태원역,Itaewon station
48,인구밀집지역,POI048,장지역,Jangji station
49,인구밀집지역,POI049,장한평역,Janghanpyeong station
50,인구밀집지역,POI050,천호역,Cheonho station
51,인구밀집지역,POI051,총신대입구(이수)역,Chongshin University(Isu) station
52,인구밀집지역,POI052,충정로역,Chungjeongno station
53,인구밀집지역,POI053,합정역,Hapjeong station
54,인구밀집지역,POI054,혜화역,Hyehwa station
55,인구밀집지역,POI055,홍대입구역(2호선),Hongik University station(Line 2)
56,인구밀집지역,POI056,회기역,Hoegi station
57,발달상권,POI057,4·19 카페거리,4·19 Cafe street
58,발달상권,POI058,가락시장,Garak Market
59,발달상권,POI059,가로수길,Garosu-gil
60,발달상권,POI060,광장(전통)시장,Gwangjang(Traditional) Market
61,발달상권,POI061,김포공항,Gimpo Airport
62,발달상권,POI062,낙산공원·이화마을,Naksan Park·Ihwa Village
63,발달상권,POI063,노량진,Noryangjin
64,발달상권,POI064,덕수궁길·정동길,Deoksugung-gil·Jeongdong-gil
65,발달상권,POI065,방배역 먹자골목,Bangbae food alley
66,발달상권,POI066,북촌한옥마을,Bukchon Hanok Village
67,발달상권,POI067,서촌,Seochon
68,발달상권,POI068,성수카페거리,Seongsu Cafe Street
69,발달상권,POI069,수유리 먹자골목,Suyuri food alley
70,발달상권,POI070,쌍문동 맛집거리,Ssangmun-dong restaurant street
71,발달상권,POI071,압구정로데오거리,Apgujeong Rodeo Street
72,발달상권,POI072,여의도,Yeouido
73,발달상권,POI073,연남동,Yeonnam-dong
74,발달상권,POI074,영등포 타임스퀘어,Yeongdeungpo Time square
75,발달상권,POI075,외대앞,Hankuk University of Foreign Studies
76,발달상권,POI076,용리단길,Yongnidan-gil
77,발달상권,POI077,이태원 앤틱가구거리,Itaewon Antiques street
78,발달상권,POI078,인사동·익선동,Insa-dong·Ikseon-dong
79,발달상권,POI079,창동 신경제 중심지,Changdong New Economic Center
80,발달상권,POI080,청담동 명품거리,Cheongdam-dong Luxury Fashion street
81,발달상권,POI081,청량리 제기동 일대 전통시장,Traditional market in Cheongnyangni Jegi-dong 
82,발달상권,POI082,해방촌·경리단길,Haebangchon·Gyeongnidan-gil
83,발달상권,POI083,DDP(동대문디자인플라자),DDP(Dongdaemun Design Plaza)
84,발달상권,POI084,DMC(디지털미디어시티),DMC(Digital Media City)
85,공원,POI085,강서한강공원,Gangseo Hangang Park
86,공원,POI086,고척돔,Gocheok Dome
87,공원,POI087,광나루한강공원,Gwangnaru Hangang Park
88,공원,POI088,광화문광장,Gwanghwamun Square
89,공원,POI089,국립중앙박물관·용산가족공원,The National Museum of Korea·Yongsan Family Park
90,공원,POI090,난지한강공원,Nanji Hangang Park
91,공원,POI091,남산공원,Namsan Park
92,공원,POI092,노들섬,Nodeul island
93,공원,POI093,뚝섬한강공원,Ttukseom Hangang Park
94,공원,POI094,망원한강공원,Mangwon Hangang Park
95,공원,POI095,반포한강공원,Banpo Hangang Park
96,공원,POI096,북서울꿈의숲,Dream Forest
97,공원,POI097,불광천,Bulgwangcheon River
98,공원,POI098,서리풀공원·몽마르뜨공원,Seoripul Park·Montmartre Park
99,공원,POI099,서울광장,Seoul Plaza
100,공원,POI100,서울대공원,Seoul Grand Park
101,공원,POI101,서울숲공원,Seoul Forest
102,공원,POI102,아차산,Achasan
103,공원,POI103,양화한강공원,Yanghwa Hangang Park
104,공원,POI104,어린이대공원,Children's Grand Park
105,공원,POI105,여의도한강공원,Yeouido Hangang Park
106,공원,POI106,월드컵공원,World Cup Park
107,공원,POI107,응봉산,Eungbongsan
108,공원,POI108,이촌한강공원,Ichon Hangang Park
109,공원,POI109,잠실종합운동장,Jamsil (Seoul) Sports Complex
110,공원,POI110,잠실한강공원,Jamsil Hangang Park
111,공원,POI111,잠원한강공원,Jamwon Hangang Park
112,공원,POI112,청계산,Cheonggyesan
113,공원,POI113,청와대,Cheongwadae
114,발달상권,POI114,북창동 먹자골목,Bukchang-dong food alley
115,발달상권,POI115,남대문시장,Namdaemun Market
